iso3,anio,share_local,fx_share
CAF,2015,0.587,0.41300000000000003
CAF,2016,0.5660000000000001,0.43399999999999994
CAF,2017,0.642,0.358
CAF,2018,0.624,0.376
CAF,2019,0.62,0.38
CAF,2020,0.628,0.372
CAF,2021,0.644,0.356
CAF,2022,0.653,0.347
CAF,2023,0.7070000000000001,0.2929999999999999
CAF,2024,0.735,0.265
CHL,2003,0.573,0.42700000000000005
CHL,2004,0.552,0.44799999999999995
CHL,2005,0.55,0.44999999999999996
CHL,2006,0.45999999999999996,0.54
CHL,2007,0.493,0.507
CHL,2008,0.611,0.389
CHL,2009,0.772,0.22799999999999998
CHL,2010,0.827,0.17300000000000004
CHL,2011,0.8280000000000001,0.17199999999999993
CHL,2012,0.839,0.16100000000000003
CHL,2013,0.871,0.129
CHL,2014,0.841,0.15900000000000003
CHL,2015,0.8160000000000001,0.18399999999999994
CHL,2016,0.823,0.17700000000000005
CHL,2017,0.8240000000000001,0.17599999999999993
CHL,2018,0.802,0.19799999999999995
CHL,2019,0.794,0.20599999999999996
CHL,2020,0.769,0.23099999999999998
CHL,2021,0.648,0.352
CHL,2022,0.645,0.355
CHL,2023,0.644,0.356
CHL,2024,0.638,0.362
CHL,2025,0.6599999999999999,0.3400000000000001
CHN,1995,0.731,0.269
CHN,1996,0.731,0.269
CHN,1997,0.675,0.32499999999999996
CHN,1998,0.806,0.19399999999999995
CHN,1999,0.8009999999999999,0.19900000000000007
CHN,2000,0.834,0.16600000000000004
CHN,2001,0.859,0.14100000000000001
CHN,2002,0.877,0.123
CHN,2003,0.893,0.10699999999999998
CHN,2004,0.903,0.09699999999999998
CHN,2005,0.923,0.07699999999999996
CHN,2006,0.933,0.06699999999999995
CHN,2007,0.955,0.04500000000000004
CHN,2008,0.959,0.041000000000000036
CHN,2009,0.993,0.007000000000000006
CHN,2010,0.994,0.006000000000000005
CHN,2011,0.996,0.0040000000000000036
CHN,2012,0.996,0.0040000000000000036
CHN,2013,0.997,0.0030000000000000027
CHN,2014,0.998,0.0020000000000000018
CHN,2015,0.998,0.0020000000000000018
CHN,2016,0.998,0.0020000000000000018
CHN,2017,0.998,0.0020000000000000018
CHN,2018,0.996,0.0040000000000000036
CHN,2019,0.992,0.008000000000000007
CHN,2020,0.991,0.009000000000000008
CHN,2021,0.99,0.010000000000000009
CHN,2022,0.967,0.03300000000000003
CHN,2023,0.993,0.007000000000000006
