index,iso3,anio,variable,valor
309,AUS,2016,resultado_fiscal_weo,-2.424
310,AUS,2017,resultado_fiscal_weo,-1.718
311,AUS,2018,resultado_fiscal_weo,-1.259
312,AUS,2019,resultado_fiscal_weo,-4.41
313,AUS,2020,resultado_fiscal_weo,-8.733
314,AUS,2021,resultado_fiscal_weo,-6.363
315,AUS,2022,resultado_fiscal_weo,-2.185
316,AUS,2023,resultado_fiscal_weo,-0.922
317,AUS,2024,resultado_fiscal_weo,-2.156
318,AUS,2025,resultado_fiscal_weo,-2.584
319,AUS,2026,resultado_fiscal_weo,-1.574
320,AUT,1995,resultado_fiscal_weo,-6.174
321,AUT,1996,resultado_fiscal_weo,-4.381
322,AUT,1997,resultado_fiscal_weo,-2.384
323,AUT,1998,resultado_fiscal_weo,-2.683
324,AUT,1999,resultado_fiscal_weo,-2.628
325,AUT,2000,resultado_fiscal_weo,-2.075
326,AUT,2001,resultado_fiscal_weo,-0.712
327,AUT,2002,resultado_fiscal_weo,-1.426
328,AUT,2003,resultado_fiscal_weo,-1.839
329,AUT,2004,resultado_fiscal_weo,-4.941
330,AUT,2005,resultado_fiscal_weo,-2.588
331,AUT,2006,resultado_fiscal_weo,-2.609
332,AUT,2007,resultado_fiscal_weo,-1.561
333,AUT,2008,resultado_fiscal_weo,-1.572
334,AUT,2009,resultado_fiscal_weo,-5.381
335,AUT,2010,resultado_fiscal_weo,-4.465
336,AUT,2011,resultado_fiscal_weo,-2.482
337,AUT,2012,resultado_fiscal_weo,-2.177
338,AUT,2013,resultado_fiscal_weo,-1.993
339,AUT,2014,resultado_fiscal_weo,-1.923
340,AUT,2015,resultado_fiscal_weo,-0.476
341,AUT,2016,resultado_fiscal_weo,-1.451
342,AUT,2017,resultado_fiscal_weo,-0.776
343,AUT,2018,resultado_fiscal_weo,0.195
344,AUT,2019,resultado_fiscal_weo,0.536
345,AUT,2020,resultado_fiscal_weo,-8.204
346,AUT,2021,resultado_fiscal_weo,-5.694
347,AUT,2022,resultado_fiscal_weo,-3.42
348,AUT,2023,resultado_fiscal_weo,-2.612
349,AUT,2024,resultado_fiscal_weo,-4.694
350,AUT,2025,resultado_fiscal_weo,-4.08
351,AUT,2026,resultado_fiscal_weo,-3.557
352,AZE,1995,resultado_fiscal_weo,-1.34
353,AZE,1996,resultado_fiscal_weo,-2.253
354,AZE,1997,resultado_fiscal_weo,-0.937
355,AZE,1998,resultado_fiscal_weo,1.631
356,AZE,1999,resultado_fiscal_weo,-1.033
357,AZE,2000,resultado_fiscal_weo,0.145
358,AZE,2001,resultado_fiscal_weo,21.764
359,AZE,2002,resultado_fiscal_weo,19.393
360,AZE,2003,resultado_fiscal_weo,1.605
361,AZE,2004,resultado_fiscal_weo,1.781
362,AZE,2005,resultado_fiscal_weo,2.741
363,AZE,2006,resultado_fiscal_weo,0.663
364,AZE,2007,resultado_fiscal_weo,2.337
365,AZE,2008,resultado_fiscal_weo,17.194
366,AZE,2009,resultado_fiscal_weo,5.857
367,AZE,2010,resultado_fiscal_weo,13.831
368,AZE,2011,resultado_fiscal_weo,10.86
369,AZE,2012,resultado_fiscal_weo,3.705
370,AZE,2013,resultado_fiscal_weo,1.643
371,AZE,2014,resultado_fiscal_weo,2.742
372,AZE,2015,resultado_fiscal_weo,-4.833
373,AZE,2016,resultado_fiscal_weo,-1.17
374,AZE,2017,resultado_fiscal_weo,-1.342
375,AZE,2018,resultado_fiscal_weo,5.429
376,AZE,2019,resultado_fiscal_weo,8.955
377,AZE,2020,resultado_fiscal_weo,-6.44
378,AZE,2021,resultado_fiscal_weo,4.205
379,AZE,2022,resultado_fiscal_weo,5.963
380,AZE,2023,resultado_fiscal_weo,7.92
381,AZE,2024,resultado_fiscal_weo,3.233
382,AZE,2025,resultado_fiscal_weo,-1.252
383,AZE,2026,resultado_fiscal_weo,-1.73
384,BDI,1995,resultado_fiscal_weo,-4.326
385,BDI,1996,resultado_fiscal_weo,-10.026
386,BDI,1997,resultado_fiscal_weo,-5.215
387,BDI,1998,resultado_fiscal_weo,-5.16
388,BDI,1999,resultado_fiscal_weo,-6.145
389,BDI,2000,resultado_fiscal_weo,-6.435
390,BDI,2001,resultado_fiscal_weo,-8.721
391,BDI,2002,resultado_fiscal_weo,-5.381
392,BDI,2003,resultado_fiscal_weo,-14.738
393,BDI,2004,resultado_fiscal_weo,-15.46
394,BDI,2005,resultado_fiscal_weo,-10.556
395,BDI,2006,resultado_fiscal_weo,-9.924
396,BDI,2007,resultado_fiscal_weo,-2.51
397,BDI,2008,resultado_fiscal_weo,-2.704
398,BDI,2009,resultado_fiscal_weo,-5.145
399,BDI,2010,resultado_fiscal_weo,-3.637
400,BDI,2011,resultado_fiscal_weo,-3.491
401,BDI,2012,resultado_fiscal_weo,-3.794
402,BDI,2013,resultado_fiscal_weo,-1.899
403,BDI,2014,resultado_fiscal_weo,-3.929
404,BDI,2015,resultado_fiscal_weo,-7.559
405,BDI,2016,resultado_fiscal_weo,-7.111
406,BDI,2017,resultado_fiscal_weo,-5.006
407,BDI,2018,resultado_fiscal_weo,-6.659
408,BDI,2019,resultado_fiscal_weo,-6.402
409,BDI,2020,resultado_fiscal_weo,-6.331
410,BDI,2021,resultado_fiscal_weo,-5.242
411,BDI,2022,resultado_fiscal_weo,-10.59
412,BDI,2023,resultado_fiscal_weo,-7.449
413,BDI,2024,resultado_fiscal_weo,-5.02
414,BDI,2025,resultado_fiscal_weo,-6.549
415,BDI,2026,resultado_fiscal_weo,-6.024
416,BEL,1995,resultado_fiscal_weo,-4.509
417,BEL,1996,resultado_fiscal_weo,-4.003
418,BEL,1997,resultado_fiscal_weo,-2.151
419,BEL,1998,resultado_fiscal_weo,-1.025
420,BEL,1999,resultado_fiscal_weo,-0.648
421,BEL,2000,resultado_fiscal_weo,-0.08
422,BEL,2001,resultado_fiscal_weo,0.233
423,BEL,2002,resultado_fiscal_weo,-0.044
424,BEL,2003,resultado_fiscal_weo,-1.864
425,BEL,2004,resultado_fiscal_weo,-0.239
426,BEL,2005,resultado_fiscal_weo,-2.715
427,BEL,2006,resultado_fiscal_weo,0.24
428,BEL,2007,resultado_fiscal_weo,0.067
429,BEL,2008,resultado_fiscal_weo,-1.095
430,BEL,2009,resultado_fiscal_weo,-5.448
431,BEL,2010,resultado_fiscal_weo,-4.133
432,BEL,2011,resultado_fiscal_weo,-4.441
433,BEL,2012,resultado_fiscal_weo,-4.348
434,BEL,2013,resultado_fiscal_weo,-3.164
435,BEL,2014,resultado_fiscal_weo,-3.175
436,BEL,2015,resultado_fiscal_weo,-2.475
437,BEL,2016,resultado_fiscal_weo,-2.431
438,BEL,2017,resultado_fiscal_weo,-0.763
439,BEL,2018,resultado_fiscal_weo,-1.048
440,BEL,2019,resultado_fiscal_weo,-2.048
441,BEL,2020,resultado_fiscal_weo,-9.035
442,BEL,2021,resultado_fiscal_weo,-5.396
443,BEL,2022,resultado_fiscal_weo,-3.613
444,BEL,2023,resultado_fiscal_weo,-4.188
445,BEL,2024,resultado_fiscal_weo,-4.42
446,BEL,2025,resultado_fiscal_weo,-5.031
447,BEL,2026,resultado_fiscal_weo,-5.791
448,BEN,1995,resultado_fiscal_weo,-2.615
449,BEN,1996,resultado_fiscal_weo,-0.148
450,BEN,1997,resultado_fiscal_weo,0.64
451,BEN,1998,resultado_fiscal_weo,2.504
452,BEN,1999,resultado_fiscal_weo,1.944
453,BEN,2000,resultado_fiscal_weo,-3.692
454,BEN,2001,resultado_fiscal_weo,-3.269
455,BEN,2002,resultado_fiscal_weo,-3.33
456,BEN,2003,resultado_fiscal_weo,-1.072
457,BEN,2004,resultado_fiscal_weo,-0.705
458,BEN,2005,resultado_fiscal_weo,-1.523
459,BEN,2006,resultado_fiscal_weo,-0.147
460,BEN,2007,resultado_fiscal_weo,0.222
461,BEN,2008,resultado_fiscal_weo,-0.041
462,BEN,2009,resultado_fiscal_weo,-2.241
463,BEN,2010,resultado_fiscal_weo,-0.276
464,BEN,2011,resultado_fiscal_weo,-0.981
465,BEN,2012,resultado_fiscal_weo,-0.216
466,BEN,2013,resultado_fiscal_weo,-1.365
467,BEN,2014,resultado_fiscal_weo,-1.651
468,BEN,2015,resultado_fiscal_weo,-5.553
469,BEN,2016,resultado_fiscal_weo,-4.289
470,BEN,2017,resultado_fiscal_weo,-4.204
471,BEN,2018,resultado_fiscal_weo,-2.976
472,BEN,2019,resultado_fiscal_weo,-0.54
473,BEN,2020,resultado_fiscal_weo,-4.682
474,BEN,2021,resultado_fiscal_weo,-5.709
475,BEN,2022,resultado_fiscal_weo,-5.555
476,BEN,2023,resultado_fiscal_weo,-4.129
477,BEN,2024,resultado_fiscal_weo,-3.098
478,BEN,2025,resultado_fiscal_weo,-2.9
479,BEN,2026,resultado_fiscal_weo,-2.9
480,BFA,1995,resultado_fiscal_weo,-2.646
481,BFA,1996,resultado_fiscal_weo,-1.666
482,BFA,1997,resultado_fiscal_weo,-2.643
483,BFA,1998,resultado_fiscal_weo,-2.598
484,BFA,1999,resultado_fiscal_weo,-3.287
485,BFA,2000,resultado_fiscal_weo,-3.028
486,BFA,2001,resultado_fiscal_weo,-3.557
487,BFA,2002,resultado_fiscal_weo,-4.433
488,BFA,2003,resultado_fiscal_weo,-1.79
